player,position,draft_year,draft_pos,performance_value
Whitney Mercilus,ED,2012,26,4.5
Datone Jones,IDL,2013,26,0.5
Marcus Smith,ED,2014,26,0.6
Breshad Perriman,WR,2015,26,0.4
Takkarist McKinley,ED,2017,26,2.3
Calvin Ridley,WR,2018,26,9
Montez Sweat,ED,2019,26,10.9
Jimmy Smith,CB,2011,27,7.200000000000001
Kevin Zeitler,RG,2012,27,7.200000000000001
DeAndre Hopkins,WR,2013,27,9.7
Deone Bucannon,LB,2014,27,1.3
Byron Jones,CB,2015,27,8.3
Kenny Clark,IDL,2016,27,8.8
Tre'Davious White,CB,2017,27,8.7
Rashaad Penny,RB,2018,27,2.8
Johnathan Abram,S,2019,27,0.5
Jordyn Brooks,LB,2020,27,3.4000000000000004
Mark Ingram,RB,2011,28,2.8
Nick Perry,ED,2012,28,3.2
Sylvester Williams,IDL,2013,28,3.3000000000000003
Kelvin Benjamin,WR,2014,28,1.4
Laken Tomlinson,LG,2015,28,3.1
Joshua Garnett,LG,2016,28,0.4
Taco Charlton,ED,2017,28,1.5
Terrell Edmunds,S,2018,28,1.2
Jerry Tillery,IDL,2019,28,1.5
Patrick Queen,LB,2020,28,5.4
Gabe Carimi,RG,2011,29,0.6
Harrison Smith,S,2012,29,6.6000000000000005
Cordarrelle Patterson,WR,2013,29,2.5
Dominique Easley,IDL,2014,29,0.4
Phillip Dorsett,WR,2015,29,0.8
Robert Nkemdiche,IDL,2016,29,0.4
David Njoku,TE,2017,29,6.6000000000000005
Taven Bryan,IDL,2018,29,1.9
L.J. Collier,IDL,2019,29,0.5
Isaiah Wilson,RT,2020,29,0.1
Muhammad Wilkerson,IDL,2011,30,11.1
A.J. Jenkins,WR,2012,30,1.4
Alec Ogletree,LB,2013,30,6.3
Jimmie Ward,S,2014,30,2.4
Damarious Randall,S,2015,30,1.4
Vernon Butler,IDL,2016,30,3.8
T.J. Watt,ED,2017,30,15.299999999999999
Mike Hughes,CB,2018,30,1.1
Deandre Baker,CB,2019,30,0.1
Noah Igbinoghene,CB,2020,30,0.5
Cameron Heyward,IDL,2011,31,7.3
Doug Martin,RB,2012,31,4.6
Travis Frederick,C,2013,31,6.1
Bradley Roby,CB,2014,31,5.3
Stephone Anthony,LB,2015,31,0.4
Germain Ifedi,RG,2016,31,0.5
Reuben Foster,LB,2017,31,0
Sony Michel,RB,2018,31,0.8
Kaleb McGary,RT,2019,31,5.1
Jeff Gladney,CB,2020,31,1.6
Derek Sherrod,LT,2011,32,0.5
David Wilson,RB,2012,32,0
Matt Elam,S,2013,32,0
Malcom Brown,IDL,2015,32,2.7
Emmanuel Ogbah,ED,2016,32,3.8
Ryan Ramczyk,RT,2017,32,10.5
N'Keal Harry,WR,2019,32,0.5
Clyde Edwards-Helaire,RB,2020,32,0.7
Ras-I Dowling,CB,2011,33,0.1
